fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,date,Participant,expName,Group,frameRate,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,CD,2,4,0,17,17,33,,,,,,,,,,4,1,0.54981823814,,,,,,2016_Sep_01_0922,P11,PLC_L_D1S2,NHGX,60.0201271841,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,18,18,8,,,,,,,,,,2,1,0.849728049684,,,,,,2016_Sep_01_0922,P11,PLC_L_D1S2,NHGX,60.0201271841,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,19,19,14,,,,,,,,,,4,1,0.783065902264,,,,,,2016_Sep_01_0922,P11,PLC_L_D1S2,NHGX,60.0201271841,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,20,20,10,,,,,,,,,,4,1,0.549809375082,,,,,,2016_Sep_01_0922,P11,PLC_L_D1S2,NHGX,60.0201271841,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,21,21,25,,,,,,,,,,2,1,0.816395439149,,,,,,2016_Sep_01_0922,P11,PLC_L_D1S2,NHGX,60.0201271841,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,22,22,27,,,,,,,,,,2,1,0.799705552193,,,,,,2016_Sep_01_0922,P11,PLC_L_D1S2,NHGX,60.0201271841,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,23,23,5,,,,,,,,,,2,1,0.883044888968,,,,,,2016_Sep_01_0922,P11,PLC_L_D1S2,NHGX,60.0201271841,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,24,24,20,,,,,,,,,,2,1,0.766390490333,,,,,,2016_Sep_01_0922,P11,PLC_L_D1S2,NHGX,60.0201271841,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,25,25,47,,,,,,,,,,2,1,0.816380615257,,,,,,2016_Sep_01_0922,P11,PLC_L_D1S2,NHGX,60.0201271841,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,CD,2,4,0,26,26,30,,,,,,,,,,4,1,0.866329961692,,,,,,2016_Sep_01_0922,P11,PLC_L_D1S2,NHGX,60.0201271841,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,27,27,48,,,,,,,,,,2,1,0.683064476717,,,,,,2016_Sep_01_0922,P11,PLC_L_D1S2,NHGX,60.0201271841,
